handle,title,price,inSaleSpecial,suggested,confidence,reasoning,ownerDecision,descChars,images
k-series-type-s-oil-pump-kit,K Series Type S Oil Pump Kit,445,no,ASK,low,"Could be an OEM pump resold, or an SY-assembled kit",,128,1
toyota-supra-a90-bmw-z4-b58-3-0l-turbo-cold-air-intake-system,Toyota Supra A90 BMW Z4 (B58 3.0l turbo) Cold Air Intake System,365,yes,ASK,low,"SY fabricates intakes, but this is also a heavily resold category",,252,1
flywheels,Flywheels,275,no,ASK,low,"No brand, no platform, no description - could be Comp 1, could be resold",,14,2
evo-7-8-9-bottom-mount-turbo-kit,Evo 7/8/9 Bottom Mount Turbo Kit,4400,yes,IN-HOUSE,high,Turbo kit built around SY Evo manifolds; no third-party brand anywhere,,878,4
evo-7-8-9-forward-facing-turbo-kit-1,Evo 7/8/9 Forward Facing Turbo Kit,4400,yes,IN-HOUSE,high,Handle ends -1: likely a DUPLICATE of the other forward-facing kit - check before migrating,,793,6
evo-7-8-9-forward-facing-turbo-kit-up-pipes,Evo 7/8/9 Forward Facing Turbo Kit Up Pipes,4300,yes,IN-HOUSE,high,"Fabricated up-pipes, same kit family",,729,3
syp-2021-toyota-supra-a90-a91-3-0-6-port-turbo-kit,SYP 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit,4000,yes,IN-HOUSE,high,Title carries SYP; B58 6-port kit,,1523,21
pte-turbos,PTE Turbos,1150,no,RESOLD,high,PTE = Precision Turbo & Engine,,16,1
drag-pro-series-coilovers-92-00-civic-eg-ek-94-01-integra-dc,DRAG PRO+ SERIES COILOVERS - 92-00 CIVIC EG EK / 94-01 INTEGRA DC,995,no,RESOLD,high,"Blox Racing ""Drag Pro Series"" product line",,1524,1
evo-7-8-9-down-pipe-stock-frame-stock-location,Evo 7/8/9 Down Pipe Stock Frame Stock Location,785,no,IN-HOUSE,high,"Fabricated downpipe, stock-frame family SY already sells",,285,3
street-series-ii-plus-coilovers-92-00-civic-94-01-integra,STREET SERIES II PLUS COILOVERS - 92-00 CIVIC / 94-01 INTEGRA,765,no,RESOLD,high,"Blox Racing ""Street Series II"" product line",,0,1
b58-supra-bmw-port-injection,B58 Supra/Bmw Port Injection,500,yes,IN-HOUSE,high,"Machined port-injection setup, B58 family",,937,2
honda-insane-shaft-swap-axles,Honda Insane Shaft Swap Axles,500,no,IN-HOUSE,medium,"Drivetrain/axle family is the core moat, but ""Insane Shaft"" may be a supplier brand - CONFIRM",,0,1
2020-2024-a90-supra-carbon-fiber-fenders,2020-2024 A90 Supra Carbon Fiber Fenders,450,yes,RESOLD,high,"Carbon body panel - SY does metal, not composites",,87,5
honda-k-series-type-s-tucked-engine-harness,HONDA K Series Type S Tucked Engine Harness,450,yes,IN-HOUSE,medium,"Tucked harnesses are usually built in-house, but Rywire is a known supplier and is resold here - CONFIRM",,511,1
2020-2024-a90-supra-carbon-door-guard-trim,2020-2024 A90 Supra Carbon Door Guard Trim,350,yes,RESOLD,high,Carbon trim,,383,2
2020-2024-a90-supra-carbon-fiber-trunk-spoiler,2020-2024 A90 Supra Carbon Fiber Trunk Spoiler,325,yes,RESOLD,high,Carbon body panel,,221,10
traction-bar-kit-92-00-civic-94-01-integra,TRACTION BAR KIT - 92-00 CIVIC / 94-01 INTEGRA,325,no,RESOLD,high,Blox Racing traction bar kit,,0,1
syp-catch-can-overflow-combo,SYP Catch Can/Overflow Combo,300,yes,IN-HOUSE,high,Title carries SYP,,132,1
b16-race-fill-pot,B16 Race Fill Pot,250,no,IN-HOUSE,high,Fill pot family; K Series Coolant Fill Pot already confirmed in-house,,182,2
b18-gsr-fill-pot,B18 GSR Fill Pot,250,no,IN-HOUSE,high,Same fill pot family,,272,3
honda-k-series-oem-2nd-gear-type-s,Honda K Series Oem 2nd Gear Type S,205,no,RESOLD,high,OEM Honda gear,,33,1
rsx-oem-spec-shifter-cables,Rsx Oem Spec Shifter Cables,200,yes,RESOLD,high,OEM-spec replacement cables,,0,1
k-series-steel-tapped-oil-pan,K Series Steel Tapped Oil Pan,175,yes,IN-HOUSE,high,Fabricated/modified pan,,40,1
scatter-sheild,Scatter Sheild,165,yes,IN-HOUSE,high,Fabricated bellhousing shield; has its own collection,,128,3
alternator-relocation-kit-k-series,Alternator Relocation Kit K Series,145,yes,IN-HOUSE,high,Fabricated bracket kit,,0,1
tuner-series-throttle-body-honda-b-d-f-h-series,TUNER SERIES THROTTLE BODY - HONDA B/D/F/H-SERIES,130,no,RESOLD,high,"Blox Racing ""Tuner Series"" product line",,0,1
competition-series-qr-s2000-clutch-master-cylinder,COMPETITION SERIES QR S2000 CLUTCH MASTER CYLINDER,125,no,RESOLD,high,"Blox Racing ""Competition Series"" product line",,0,2
rear-camber-kit-88-00-civic-90-01-integra,REAR CAMBER KIT - 88-00 CIVIC / 90-01 INTEGRA,125,no,RESOLD,high,Blox Racing camber kit,,0,1
turbo-blanket,Turbo Blanket,125,no,RESOLD,high,Bought-in turbo blanket,,28,1
k-series-adjustable-idler-pulley-kit,K Series Adjustable Idler Pulley Kit,105,yes,IN-HOUSE,high,Billet pulley kit,,57,1
honda-k-series-water-necks,Honda K Series Water Necks,105,yes,IN-HOUSE,high,"Billet coolant hardware, same family as the confirmed block-offs",,51,1
syp-k-series-fuel-rail,Syp K Series Fuel Rail,95,yes,IN-HOUSE,high,Title carries SYP,,176,1
prb-water-housing,Prb Water Housing,90,yes,IN-HOUSE,high,Billet coolant family,,237,2
honda-k-series-rbc-rbb-water-plate,HONDA K SERIES RBC/RBB WATER PLATE,80,yes,IN-HOUSE,high,"Billet plate, K-series coolant family",,133,1
electronic-boost-controller,Electronic Boost Control Solenoid,80,no,RESOLD,high,Bought-in boost controller,,18,2
turbo-oil-drain-line-kit,Turbo Oil Drain Line Kit,75,no,IN-HOUSE,medium,Assembled line kit; could be resold components,,72,1
turbo-oil-feed-line-kit,Turbo Oil Feed Line Kit,75,no,IN-HOUSE,medium,Assembled line kit; could be resold components,,97,1
boost-solenoid-pushloc-kit,Boost Solenoid Pushloc Kit,75,no,IN-HOUSE,medium,Assembled kit around a bought-in solenoid,,193,1
k-series-rbb-rbc-water-bypass,K series Rbb/Rbc Water Bypass,75,yes,IN-HOUSE,high,Billet coolant family,,0,1
92-00-honda-civic-2dr-quick-release-hood-hinges,92-00 Honda Civic 2dr Quick Release Hood Hinges,65,yes,RESOLD,high,Common resold item,,0,2
2-5-stainless-uj-bend,"2.5"" Stainless UJ Bend",65,no,IN-HOUSE,high,"Stainless fab stock, same family as Mandrel Bends / Pie Cuts",,15,1
b58-turbo-oil-drain-10an,B58 Turbo Oil Drain -10an,60,yes,IN-HOUSE,high,"Machined AN fitting, B58 family",,48,2
flush-mount-hood-pins,Flush Mount Hood Pins,55,yes,IN-HOUSE,medium,"Simple machined part, but widely resold - CONFIRM",,0,1
vacuum-block,Vacuum block,50,no,IN-HOUSE,high,Billet vacuum manifold,,0,1
rbc-rbb-throttle-body-adapter-plate-kit,RBC/RBB Throttle Body Adapter Plate Kit,49,yes,IN-HOUSE,high,Billet adapter plate,,34,1
02-04-rsx-to-05-06-vss-jumper-harness,02-04 rsx to 05-06 VSS Jumper Harness,45,no,IN-HOUSE,medium,"Small harness, likely built in-house",,45,1
civic-integra-throttle-cable,Civic/Integra Throttle Cable,40,yes,RESOLD,high,OEM-spec replacement cable,,0,1
k-series-to-b-series-tps-jumper-harness,K Series to B Series Tps Jumper Harness,35,no,IN-HOUSE,medium,"Small harness, likely built in-house",,0,1
b58-oil-feed-4an,B58 Oil Feed -4an,30,yes,IN-HOUSE,high,"Machined AN fitting, B58 family",,36,2
honda-k-series-thermostat-heater-plug,Honda K Series Thermostat Heater Plug,30,yes,IN-HOUSE,high,"Machined plug, same family as transfer case block-offs",,52,2
b58-crank-case-vent-fitting-ccv,B58 Crank Case Vent Fitting (ccv),25,yes,IN-HOUSE,high,"Machined fitting, B58 family",,58,3
