handle,origin,brand,currentTitle,proposedTitle,reason,approvedTitle
"compact-intercooler","IN-HOUSE","SYPerformance","Compact Intercooler","SYPerformance Compact Intercooler","brand prefix added",""
"honda-k-series-k20a2-rsx-type-s-2nd-gear","IN-HOUSE","Synchro Solutionz","Honda K Series K20a2 Rsx Type S 2nd Gear","Honda K Series K20A2 RSX Type S 2nd Gear","",""
"b-series-single-lobe-billet-rockers","IN-HOUSE","SYPerformance","B Series Single Lobe Billet Rockers","SYPerformance B Series Single Lobe Billet Rockers","brand prefix added",""
"pulsar-next-gen-blow-off-valve","RESOLD","Pulsar","Pulsar Next Gen Blow Off Valve","","",""
"syp-2021-toyota-supra-a90-a91-3-0-6-port-turbo-kit","UNKNOWN","SYPerformance","SYP 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit","SYPerformance 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit","spelling normalised",""
"k-series-transfer-case-billet-block-off","IN-HOUSE","SYPerformance","K Series Transfer Case Billet Block Off","SYPerformance K Series Transfer Case Billet Block Off","brand prefix added",""
"k-series-awd-billet-bellhousing","IN-HOUSE","SYPerformance","K Series Awd Billet Bellhousing","SYPerformance K Series AWD Billet Bellhousing","brand prefix added",""
"b-series-honda-billet-water-necks","IN-HOUSE","SYPerformance","B Series Honda Billet Water Necks","SYPerformance B Series Honda Billet Water Necks","brand prefix added",""
"coolant-fill-weld-on-fittings","IN-HOUSE","SYPerformance","Coolant Fill Weld On Fittings","SYPerformance Coolant Fill Weld On Fittings","brand prefix added",""
"b58-2-bolt-throttle-body-flange","IN-HOUSE","SYPerformance","B58 2 Bolt Throttle Body Flange","SYPerformance B58 2 Bolt Throttle Body Flange","brand prefix added",""
"b-series-coolant-flanges","IN-HOUSE","SYPerformance","B Series Coolant Flanges","SYPerformance B Series Coolant Flanges","brand prefix added",""
"turbo-discharge-vband-flanges-3-5-8","IN-HOUSE","SYPerformance","Turbo Discharge Vband Flanges 3 5/8""","SYPerformance Turbo Discharge V-Band Flanges 3 5/8""","spelling normalised; brand prefix added",""
"stainless-flex-bellows","IN-HOUSE","SYPerformance","Stainless Flex Bellows","SYPerformance Stainless Flex Bellows","brand prefix added",""
"lancer-evo-7-8-9-turbo-flange-factory-turbo","IN-HOUSE","SYPerformance","Lancer Evo 7/8/9 Turbo Flange Factory Turbo","SYPerformance Lancer Evo 7/8/9 Turbo Flange Factory Turbo","brand prefix added",""
"mandrel-bends-stainless-aluminum","IN-HOUSE","SYPerformance","Mandrel Bends Stainless304","SYPerformance Mandrel Bends Stainless304","brand prefix added",""
"k-series-hd-shift-selector-hammer","IN-HOUSE","SYPerformance","K Series HD Shift Selector Hammer (Scha)","SYPerformance K Series HD Shift Selector Hammer (scha)","brand prefix added",""
"b16-race-fill-pot","UNKNOWN","SYPerformance","B16 Race Fill Pot","","",""
"b18-gsr-fill-pot","UNKNOWN","SYPerformance","B18 GSR Fill Pot","","",""
"vertical-flow-intercooler-universal","IN-HOUSE","SYPerformance","Vertical Flow Intercooler Universal","SYPerformance Vertical Flow Intercooler Universal","brand prefix added",""
"pulsar-wastegates","RESOLD","Pulsar","Pulsar Wastegates","","",""
"honda-b-series-sfwd-intercooler","IN-HOUSE","SYPerformance","Honda Sfwd Intercooler B/D/H Series","SYPerformance Honda SFWD Intercooler B/D/H Series","brand prefix added",""
"k-swap-adapter-harness-honda","RESOLD","Rywire","K Swap Adapter Harness Honda","","",""
"rywire-v2-engine-harness-honda-k20","RESOLD","Rywire","Rywire V2 Engine Harness Honda K20","","",""
"b-series-dust-boot","IN-HOUSE","Synchro Solutionz","B Series Dust Boot","","",""
"b-awd-h22-5th-gear-synchro-50mm","IN-HOUSE","Synchro Solutionz","B Awd/H22 5th Gear Synchro 50mm","","",""
"h-series-brass-synchro-kit-1-5","IN-HOUSE","Synchro Solutionz","H Series Brass Synchro Kit 1-5","","",""
"b18a-b18b-integra-ls-synchro-kit","IN-HOUSE","Synchro Solutionz","B18a/B18b Integra Ls Synchro Kit","B18a/B18b Integra LS Synchro Kit","",""
"b-series-brass-synchro-kit-b16-gsr-itr","IN-HOUSE","Synchro Solutionz","B Series Brass Synchro Kit B16 Gsr Itr","B Series Brass Synchro Kit B16 GSR ITR","",""
"b-series-fwd-reverse-synchro-54mm","IN-HOUSE","Synchro Solutionz","B Series Fwd Reverse Synchro 54mm","B Series FWD Reverse Synchro 54mm","",""
"b-series-single-cone-synchro-54mm","IN-HOUSE","Synchro Solutionz","B Series Single Cone Synchro 54mm","","",""
"b-h-series-single-cone-3-4-synchros-60mm","IN-HOUSE","Synchro Solutionz","B/H Series Single Cone 3-4 Synchro 60mm","","",""
"b-d-series-1-2-single-cone-synchro","IN-HOUSE","Synchro Solutionz","B/H Series 1-2 Single Cone Synchro","","",""
"b-h-series-single-cone-synchro-1-2","IN-HOUSE","Synchro Solutionz","B/H Series Single Cone Synchro 1-2 65mm","","",""
"honda-b-h-series-1-2-synchro-dual-cone-synchro","IN-HOUSE","Synchro Solutionz","Honda B/H Series 1-2 Synchro Dual Cone","","",""
"b-series-brass-synchro-kit-1-4","IN-HOUSE","Synchro Solutionz","B Series Brass Synchro Kit 1-4","","",""
"b-series-awd-h22-synchros-kit","IN-HOUSE","Synchro Solutionz","B Series Awd/Accord Euro Synchro 1-4 Kit","B Series AWD/Accord Euro Synchro 1-4 Kit","",""
"pulsar-turbos","RESOLD","PULSAR","PULSAR TURBOS","Pulsar Turbos","was ALL CAPS",""
"b58-6-port-top-mount-turbo-manifold","IN-HOUSE","SYPerformance","B58 6 Port Top Mount Turbo Manifold Supra","SYPerformance B58 6 Port Top Mount Turbo Manifold Supra","brand prefix added",""
"vertical-flow-intercooler","IN-HOUSE","SYPerformance","Vertical Flow Intercooler","SYPerformance Vertical Flow Intercooler","brand prefix added",""
"copy-of-evo-8-9-intercooler-kit-stock-frame-turbo","IN-HOUSE","SYPerformance","Evo 7/8/9 Intercooler and Upper Pipe Kit","SYPerformance Evo 7/8/9 Intercooler and Upper Pipe Kit","brand prefix added",""
"b58-crank-case-vent-fitting-ccv","UNKNOWN","SYPerformance","B58 Crank Case Vent Fitting (ccv)","","",""
"b58-turbo-coolant-feed-fitting","IN-HOUSE","SYPerformance","B58 Turbo Coolant Feed Fitting","SYPerformance B58 Turbo Coolant Feed Fitting","brand prefix added",""
"b58-stock-frame-turbo-charge-pipe-flange","IN-HOUSE","SYPerformance","B58 Stock Frame Turbo Charge Pipe Flange","SYPerformance B58 Stock Frame Turbo Charge Pipe Flange","brand prefix added",""
"2020-2024-a90-supra-carbon-fiber-fenders","UNKNOWN","SYPerformance","2020-2024 A90 Supra Carbon Fiber Fenders","","",""
"2020-2024-a90-supra-carbon-fiber-trunk-spoiler","UNKNOWN","SYPerformance","2020-2024 A90 Supra Carbon Fiber Trunk Spoiler","","",""
"2020-2024-a90-supra-carbon-door-guard-trim","UNKNOWN","SYPerformance","2020-2024 A90 Supra Carbon Door Guard Trim","","",""
"b58-turbo-oil-drain-10an","UNKNOWN","SYPerformance","B58 Turbo Oil Drain -10an","","",""
"b58-oil-feed-4an","UNKNOWN","SYPerformance","B58 Oil Feed -4an","","",""
"b58-6-port-cnc-turbo-flanges","IN-HOUSE","SYPerformance","B58 6 Port Cnc Turbo Flanges","SYPerformance B58 6 Port CNC Turbo Flanges","brand prefix added",""
"k-series-bottom-mount-ram-horn-turbo-manifold","IN-HOUSE","SYPerformance","K Series Bottom Mount RamHorn Turbo Manifold FA5/FG2","SYPerformance K Series Bottom Mount Ramhorn Turbo Manifold FA5/FG2","brand prefix added",""
"evo-7-8-9-bottom-mount-turbo-kit","UNKNOWN","SYPerformance","Evo 7/8/9 Bottom Mount Turbo Kit","","",""
"synchro-solutionz-k-series-reverse-gear","IN-HOUSE","Synchro Solutionz","Synchro Solutionz K Series Reverse Gear","","",""
"turbo-vband-inlet-flanges","IN-HOUSE","SYPerformance","Turbo Vband Inlet Flanges","SYPerformance Turbo V-Band Inlet Flanges","spelling normalised; brand prefix added",""
"evo-7-8-9-forward-facing-turbo-kit-1","UNKNOWN","SYPerformance","Evo 7/8/9 Forward Facing Turbo Kit","","",""
"evo-7-8-9-forward-facing-turbo-kit-up-pipes","UNKNOWN","SYPerformance","Evo 7/8/9 Forward Facing Turbo Kit Up Pipes","","",""
"evo-7-8-9-vband-top-mount-up-pipe-turbo-kit","IN-HOUSE","SYPerformance","Evo 7/8/9 Vband Top Mount Up Pipe Turbo Kit","SYPerformance Evo 7/8/9 V-Band Top Mount Up Pipe Turbo Kit","spelling normalised; brand prefix added",""
"evo-7-8-9-vband-top-mount-turbo-kit","IN-HOUSE","SYPerformance","Evo 7/8/9 Vband Top Mount Turbo Kit","SYPerformance Evo 7/8/9 V-Band Top Mount Turbo Kit","spelling normalised; brand prefix added",""
"evo-7-8-9-lower-intercooler-pipe-stock-frame-location","IN-HOUSE","SYPerformance","Evo 7/8/9 Lower Intercooler Pipe Stock Frame Location","SYPerformance Evo 7/8/9 Lower Intercooler Pipe Stock Frame Location","brand prefix added",""
"evo-7-8-9-upper-intercooler-pipe-kit","IN-HOUSE","SYPerformance","Evo 7/8/9 Upper Intercooler Pipe Kit","SYPerformance Evo 7/8/9 Upper Intercooler Pipe Kit","brand prefix added",""
"copy-of-evo-7-8-9-down-pipe-stock-frame-stock-location","IN-HOUSE","SYPerformance","Evo 7/8/9 Down Pipe Stock Frame Stock Location Hot Parts","SYPerformance Evo 7/8/9 Down Pipe Stock Frame Stock Location Hot Parts","brand prefix added",""
"evo-7-8-9-down-pipe-stock-frame-stock-location","UNKNOWN","SYPerformance","Evo 7/8/9 Down Pipe Stock Frame Stock Location","","",""
"k-series-synchro-solutions-synchro-springs-set","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz Synchro Springs Set","","",""
"k-series-synchro-solutions-oem-spec-sliders","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz Oem Spec Sliders","K Series Synchro Solutionz OEM Spec Sliders","",""
"k-series-synchro-solutions-oem-spec-hubs","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz Oem Spec Hubs","K Series Synchro Solutionz OEM Spec Hubs","",""
"k-series-synchro-solutions-carbon-synchro-kit","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz Synchro Kits","","",""
"k-series-synchro-solutions-carbon-synchro","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz Synchros","","",""
"k-series-synchro-solutions-6spd-1-4-kits-1","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz 1-4 Kits-No Bearings/Seals","K Series Synchro Solutionz 1-4 Kits-no Bearings/Seals","",""
"k-series-synchro-solutions-6spd-1-4-kits","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz 6spd 1-4 Kits","","",""
"k-series-synchro-solutions-5-6-kit","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz 5-6 Kit","","",""
"k-series-synchro-solutions-3-4-kit","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz 3-4 Kit","","",""
"k-series-synchro-solutions-1-6-rebuild-kit-no-bearings-seals","IN-HOUSE","Synchro Solutionz","K Series 6spd Synchro Solutionz 1-6 Kit- No Bearings/Seals","","",""
"k-series-synchro-solutions-1-6-rebuild-kit","IN-HOUSE","Synchro Solutionz","K Series 6spd Synchro Solutionz 1-6 Rebuild Kit","","",""
"k-series-synchro-solutions-1-6-full-refresh-kit","IN-HOUSE","Synchro Solutionz","K Series 6spd Synchro Solutionz 1-6 Full Refresh Kit","","",""
"k-series-synchro-solutions-1-2-kit","IN-HOUSE","Synchro Solutionz","K Series Synchro Solutionz 1-2 Kit","","",""
