old_url,final_status,final_path,chain,ranked_keywords,top3_keywords,verdict
https://got-moles.com/,200,https://project-pf8c6.vercel.app/,200 https://project-pf8c6.vercel.app/,214,142,SAME URL (identical pattern on new site)
https://got-moles.com/mole-trapping-redmond/,200,https://project-pf8c6.vercel.app/mole-control-redmond,308 https://project-pf8c6.vercel.app/mole-trapping-redmond/ -> /mole-trapping-redmond | 308 https://project-pf8c6.vercel.app/mole-trapping-redmond -> /mole-control-redmond | 200 https://project-pf8c6.vercel.app/mole-control-redmond,90,85,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-renton/,200,https://project-pf8c6.vercel.app/mole-control-renton,308 https://project-pf8c6.vercel.app/mole-control-renton/ -> /mole-control-renton | 200 https://project-pf8c6.vercel.app/mole-control-renton,78,74,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-burien/,200,https://project-pf8c6.vercel.app/mole-control-burien,308 https://project-pf8c6.vercel.app/mole-control-burien/ -> /mole-control-burien | 200 https://project-pf8c6.vercel.app/mole-control-burien,61,54,SAME URL (identical pattern on new site)
https://got-moles.com/shoreline/,200,https://project-pf8c6.vercel.app/mole-control-shoreline,308 https://project-pf8c6.vercel.app/shoreline/ -> /shoreline | 308 https://project-pf8c6.vercel.app/shoreline -> /mole-control-shoreline | 200 https://project-pf8c6.vercel.app/mole-control-shoreline,57,50,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-maple-valley/,200,https://project-pf8c6.vercel.app/mole-control-maple-valley,308 https://project-pf8c6.vercel.app/mole-control-maple-valley/ -> /mole-control-maple-valley | 200 https://project-pf8c6.vercel.app/mole-control-maple-valley,51,48,SAME URL (identical pattern on new site)
https://got-moles.com/how-many-eyes-do-moles-have/,404,https://project-pf8c6.vercel.app/blog/how-many-eyes-do-moles-have,308 https://project-pf8c6.vercel.app/how-many-eyes-do-moles-have/ -> /how-many-eyes-do-moles-have | 308 https://project-pf8c6.vercel.app/how-many-eyes-do-moles-have -> /blog/how-many-eyes-do-moles-have | 404 https://project-pf8c6.vercel.app/blog/how-many-eyes-do-moles-have -> ,90,46,"GAP - no redirect, 404 on new site"
https://got-moles.com/mole-control-sammamish/,200,https://project-pf8c6.vercel.app/mole-control-sammamish,308 https://project-pf8c6.vercel.app/mole-control-sammamish/ -> /mole-control-sammamish | 200 https://project-pf8c6.vercel.app/mole-control-sammamish,48,44,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-issaquah/,200,https://project-pf8c6.vercel.app/mole-control-issaquah,308 https://project-pf8c6.vercel.app/mole-control-issaquah/ -> /mole-control-issaquah | 200 https://project-pf8c6.vercel.app/mole-control-issaquah,53,41,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-kent/,200,https://project-pf8c6.vercel.app/mole-control-kent,308 https://project-pf8c6.vercel.app/mole-control-kent/ -> /mole-control-kent | 200 https://project-pf8c6.vercel.app/mole-control-kent,43,41,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-southhill/,404,https://project-pf8c6.vercel.app/mole-control-southhill,308 https://project-pf8c6.vercel.app/mole-control-southhill/ -> /mole-control-southhill | 404 https://project-pf8c6.vercel.app/mole-control-southhill -> ,40,40,"GAP - no redirect, 404 on new site"
https://got-moles.com/mole-control-puyallup/,200,https://project-pf8c6.vercel.app/mole-control-puyallup,308 https://project-pf8c6.vercel.app/mole-control-puyallup/ -> /mole-control-puyallup | 200 https://project-pf8c6.vercel.app/mole-control-puyallup,61,38,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-woodinville/,200,https://project-pf8c6.vercel.app/mole-control-woodinville,308 https://project-pf8c6.vercel.app/mole-control-woodinville/ -> /mole-control-woodinville | 200 https://project-pf8c6.vercel.app/mole-control-woodinville,37,37,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-enumclaw/,200,https://project-pf8c6.vercel.app/mole-control-enumclaw,308 https://project-pf8c6.vercel.app/mole-control-enumclaw/ -> /mole-control-enumclaw | 200 https://project-pf8c6.vercel.app/mole-control-enumclaw,36,36,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-fife/,200,https://project-pf8c6.vercel.app/mole-control-fife,308 https://project-pf8c6.vercel.app/mole-control-fife/ -> /mole-control-fife | 200 https://project-pf8c6.vercel.app/mole-control-fife,37,35,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-tukwila/,200,https://project-pf8c6.vercel.app/mole-control-tukwila,308 https://project-pf8c6.vercel.app/mole-control-tukwila/ -> /mole-control-tukwila | 200 https://project-pf8c6.vercel.app/mole-control-tukwila,35,35,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-bellevue/,200,https://project-pf8c6.vercel.app/mole-control-bellevue,308 https://project-pf8c6.vercel.app/mole-control-bellevue/ -> /mole-control-bellevue | 200 https://project-pf8c6.vercel.app/mole-control-bellevue,54,31,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-covington/,200,https://project-pf8c6.vercel.app/mole-control-covington,308 https://project-pf8c6.vercel.app/mole-control-covington/ -> /mole-control-covington | 200 https://project-pf8c6.vercel.app/mole-control-covington,34,31,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-seatac-2/,404,https://project-pf8c6.vercel.app/mole-control-seatac-2,308 https://project-pf8c6.vercel.app/mole-control-seatac-2/ -> /mole-control-seatac-2 | 404 https://project-pf8c6.vercel.app/mole-control-seatac-2 -> ,31,31,"GAP - no redirect, 404 on new site"
https://got-moles.com/mole-trapping-tacoma/,200,https://project-pf8c6.vercel.app/mole-control-tacoma,308 https://project-pf8c6.vercel.app/mole-trapping-tacoma/ -> /mole-trapping-tacoma | 308 https://project-pf8c6.vercel.app/mole-trapping-tacoma -> /mole-control-tacoma | 200 https://project-pf8c6.vercel.app/mole-control-tacoma,36,30,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-buckley/,200,https://project-pf8c6.vercel.app/mole-control-buckley,308 https://project-pf8c6.vercel.app/mole-control-buckley/ -> /mole-control-buckley | 200 https://project-pf8c6.vercel.app/mole-control-buckley,30,30,SAME URL (identical pattern on new site)
https://got-moles.com/seatac/,200,https://project-pf8c6.vercel.app/mole-control-seatac,308 https://project-pf8c6.vercel.app/seatac/ -> /seatac | 308 https://project-pf8c6.vercel.app/seatac -> /mole-control-seatac | 200 https://project-pf8c6.vercel.app/mole-control-seatac,25,25,SAME URL (identical pattern on new site)
https://got-moles.com/tukwila/,200,https://project-pf8c6.vercel.app/mole-control-tukwila,308 https://project-pf8c6.vercel.app/tukwila/ -> /tukwila | 308 https://project-pf8c6.vercel.app/tukwila -> /mole-control-tukwila | 200 https://project-pf8c6.vercel.app/mole-control-tukwila,25,25,SAME URL (identical pattern on new site)
https://got-moles.com/mole-control-federal-way/,200,https://project-pf8c6.vercel.app/mole-control-federal-way,308 https://project-pf8c6.vercel.app/mole-control-federal-way/ -> /mole-control-federal-way | 200 https://project-pf8c6.vercel.app/mole-control-federal-way,30,22,SAME URL (identical pattern on new site)
https://got-moles.com/woodinville/,200,https://project-pf8c6.vercel.app/mole-control-woodinville,308 https://project-pf8c6.vercel.app/woodinville/ -> /woodinville | 308 https://project-pf8c6.vercel.app/woodinville -> /mole-control-woodinville | 200 https://project-pf8c6.vercel.app/mole-control-woodinville,30,22,SAME URL (identical pattern on new site)
https://got-moles.com/tacoma/,200,https://project-pf8c6.vercel.app/mole-control-tacoma,308 https://project-pf8c6.vercel.app/tacoma/ -> /tacoma | 308 https://project-pf8c6.vercel.app/tacoma -> /mole-control-tacoma | 200 https://project-pf8c6.vercel.app/mole-control-tacoma,27,21,SAME URL (identical pattern on new site)
