handle,title,currentVendor,note,ownerDecision
"syp-2021-toyota-supra-a90-a91-3-0-6-port-turbo-kit","SYP 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"b16-race-fill-pot","B16 Race Fill Pot","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"b18-gsr-fill-pot","B18 GSR Fill Pot","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"b58-crank-case-vent-fitting-ccv","B58 Crank Case Vent Fitting (ccv)","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"2020-2024-a90-supra-carbon-fiber-fenders","2020-2024 A90 Supra Carbon Fiber Fenders","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"2020-2024-a90-supra-carbon-fiber-trunk-spoiler","2020-2024 A90 Supra Carbon Fiber Trunk Spoiler","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"2020-2024-a90-supra-carbon-door-guard-trim","2020-2024 A90 Supra Carbon Door Guard Trim","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"b58-turbo-oil-drain-10an","B58 Turbo Oil Drain -10an","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"b58-oil-feed-4an","B58 Oil Feed -4an","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"evo-7-8-9-bottom-mount-turbo-kit","Evo 7/8/9 Bottom Mount Turbo Kit","syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"evo-7-8-9-forward-facing-turbo-kit-1","Evo 7/8/9 Forward Facing Turbo Kit","syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"evo-7-8-9-forward-facing-turbo-kit-up-pipes","Evo 7/8/9 Forward Facing Turbo Kit Up Pipes","syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"evo-7-8-9-down-pipe-stock-frame-stock-location","Evo 7/8/9 Down Pipe Stock Frame Stock Location","syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"syp-k-series-fuel-rail","Syp K Series Fuel Rail","syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
